Channel,Frame,X (nm),Y (nm),Z (nm),Photons,Background
0,0,104530.453125,33632.933594,0.000000,3358.512451,24.110847
0,0,105404.546875,34417.203125,0.000000,1993.691406,36.630619
0,0,105365.828125,34530.035156,0.000000,1231.365967,44.908714
0,0,88946.250000,40611.425781,0.000000,510.443939,58.733242
0,0,108845.304688,45772.226563,0.000000,18113.494141,1.905677
0,0,108549.109375,46355.437500,0.000000,2927.159912,54.762718
0,0,109785.984375,46478.105469,0.000000,2173.633057,114.987015
0,0,92798.335938,58218.507813,0.000000,2796.177490,34.570858
0,0,112867.359375,81198.171875,0.000000,6080.659668,4.339415
0,0,113540.460938,81940.242188,0.000000,1220.773682,45.739601
0,0,113316.531250,83070.695313,0.000000,3019.018311,32.553722
0,0,112758.296875,84276.984375,0.000000,931.265869,45.543060
0,0,105579.250000,85451.187500,0.000000,6534.051758,54.322155
0,0,106184.226563,85840.617188,0.000000,11082.424805,0.001350
0,1,104608.093750,34406.062500,0.000000,316.404205,44.875660
0,1,105232.585938,34484.414063,0.000000,578.543762,44.125477
0,1,88646.125000,39470.945313,0.000000,7975.875000,1.481101
0,1,88968.757813,40622.730469,0.000000,1402.627686,34.993069
0,1,110608.421875,44786.441406,0.000000,2157.128662,43.801773
0,1,110413.140625,45392.210938,0.000000,1755.728149,59.988937
0,1,108842.007813,45720.164063,0.000000,17502.972656,0.005840
0,1,108538.484375,46348.644531,0.000000,7108.255371,26.772825
0,1,109809.773438,46402.011719,0.000000,4399.442383,65.467209
0,1,92699.492188,57383.046875,0.000000,316.985992,51.504627
0,1,92798.171875,58366.785156,0.000000,308.482086,53.666626
0,1,113552.281250,82056.640625,0.000000,2766.137939,24.628759
0,1,113218.789063,83224.648438,0.000000,1149.787964,48.920704
0,1,112748.320313,84339.867188,0.000000,636.064636,43.911030
0,1,105583.101563,85388.117188,0.000000,14581.369141,14.795785
0,1,106161.414063,85830.085938,0.000000,9223.186523,1.154049
0,2,104671.125000,34406.269531,0.000000,1200.166626,39.988052
0,2,88981.179688,40475.234375,0.000000,488.364746,55.223095
0,2,109930.570313,45097.414063,0.000000,511.182800,74.192657
0,2,110443.375000,45306.300781,0.000000,2288.137207,54.948677
0,2,69755.476563,45758.355469,0.000000,6362.056152,6.232860
0,2,109795.773438,46459.261719,0.000000,1970.865234,99.973488
0,2,92747.039063,58161.726563,0.000000,7934.892090,13.252501
0,2,113401.476563,81095.437500,0.000000,2872.778320,19.689163
0,2,113607.414063,82015.640625,0.000000,1091.924805,45.182842
0,2,113313.703125,83163.703125,0.000000,526.535583,57.312626
0,2,112790.203125,84255.460938,0.000000,899.285583,49.823929
0,2,105564.476563,85386.742188,0.000000,13933.614258,1.572868
0,2,106153.703125,85958.531250,0.000000,1124.084106,73.885834
0,3,83584.445313,21407.531250,0.000000,12990.098633,7.667009
0,3,105722.742188,34396.203125,0.000000,1036.927979,34.398579
0,3,88032.164063,38989.179688,0.000000,8048.089355,2.184622
0,3,109997.468750,45080.003906,0.000000,1229.194580,67.999985
0,3,108542.781250,46300.421875,0.000000,9759.642578,24.943432
0,3,109789.937500,46449.378906,0.000000,2322.741455,100.965454
0,3,92490.656250,57919.921875,0.000000,570.726135,51.066269
0,3,113587.937500,82060.757813,0.000000,785.382935,46.032555
0,3,113286.406250,83204.179688,0.000000,3630.971680,25.277061
0,3,112739.835938,84268.000000,0.000000,903.860535,55.788574
0,3,105589.375000,85487.765625,0.000000,15957.755859,0.723739
0,3,106157.351563,85833.335938,0.000000,12053.981445,0.002851
0,4,88524.335938,39052.933594,0.000000,659.933899,44.268440
0,4,89007.570313,40470.394531,0.000000,503.748230,58.357349
0,4,70271.171875,44716.750000,0.000000,126.160599,40.822338
0,4,110007.625000,45061.402344,0.000000,2269.360107,52.121311
0,4,69701.679688,45834.937500,0.000000,3894.060547,8.663557
0,4,108527.835938,46308.589844,0.000000,12599.464844,2.282286
0,4,109798.890625,46406.031250,0.000000,3396.110107,83.072929
0,4,92369.257813,57413.742188,0.000000,5957.878418,8.148696
0,4,92667.281250,58050.042969,0.000000,9483.594727,0.000582
0,4,113398.992188,81357.898438,0.000000,2054.447266,32.793213
0,4,113616.046875,82028.773438,0.000000,750.965820,50.844414
0,4,113280.015625,83227.804688,0.000000,7304.225098,0.213496
0,4,112756.882813,84283.492188,0.000000,1185.047241,45.899128
0,4,105637.968750,85308.250000,0.000000,13544.664063,0.810237
0,4,106170.429688,85958.804688,0.000000,1026.335327,82.040070
0,5,110560.929688,44772.210938,0.000000,1169.449829,59.304611
0,5,109972.000000,45079.511719,0.000000,1089.563843,63.702763
0,5,108726.726563,45836.222656,0.000000,16652.017578,1.354673
0,5,109749.867188,46460.406250,0.000000,1876.004395,87.176666
0,5,108590.585938,46409.894531,0.000000,13871.190430,1.716457
0,5,92743.421875,58255.882813,0.000000,4053.189697,21.459873
0,5,113586.132813,82034.148438,0.000000,1463.837646,43.010422
0,5,113387.632813,83203.585938,0.000000,1462.649902,43.027206
0,5,112723.562500,84227.414063,0.000000,767.005188,52.141129
0,5,106764.156250,85270.085938,0.000000,1782.043457,40.288368
0,5,106207.820313,85859.906250,0.000000,6627.501953,23.588137
0,6,83560.687500,21358.818359,0.000000,17887.339844,0.001156
0,6,83631.171875,21646.908203,0.000000,19165.261719,3.369829
0,6,105139.585938,34450.816406,0.000000,888.353638,42.896782
0,6,110533.281250,44825.488281,0.000000,5479.016602,22.514336
0,6,70504.601563,45625.628906,0.000000,5780.402832,2.254806
0,6,108779.460938,45819.367188,0.000000,12144.777344,17.850161
0,6,69728.601563,45823.585938,0.000000,2722.129150,13.644310
0,6,109801.781250,46470.125000,0.000000,1759.890625,94.741852
0,6,92734.429688,58245.664063,0.000000,7963.300781,1.992484
0,6,113587.742188,82055.117188,0.000000,1446.863525,39.821640
0,6,113246.398438,83155.687500,0.000000,7141.984375,3.712211
0,6,112723.343750,84353.960938,0.000000,1031.276855,45.093903
0,6,106187.539063,85890.523438,0.000000,7494.119141,12.800677
0,7,104705.031250,34354.417969,0.000000,220.516586,47.771931
0,7,105764.554688,34235.019531,0.000000,198.810654,43.642437
0,7,88131.695313,40082.019531,0.000000,1600.399780,40.133114
0,7,88948.039063,40592.304688,0.000000,1103.078613,42.448162
0,7,108915.046875,45599.308594,0.000000,3816.653320,72.056793
0,7,108927.226563,45742.531250,0.000000,17698.490234,1.412273
0,7,109784.632813,46461.417969,0.000000,1778.489868,101.810722
0,7,108527.093750,46377.546875,0.000000,4898.771973,33.473942
0,7,113564.421875,81970.367188,0.000000,4964.728516,10.797285
0,7,113362.734375,83186.406250,0.000000,1555.271606,36.101025
0,7,112736.695313,83988.343750,0.000000,671.103577,50.680630
0,7,106580.960938,85231.070313,0.000000,5605.822266,31.016361
0,7,106165.296875,85842.929688,0.000000,7863.298340,14.523782
0,8,104535.242188,34155.652344,0.000000,1562.990234,34.493431
0,8,105222.281250,34456.753906,0.000000,2195.051514,28.098024
0,8,88312.515625,39601.070313,0.000000,965.439819,54.902309
0,8,70580.796875,44702.933594,0.000000,286.283356,34.715027
0,8,69599.718750,45921.410156,0.000000,337.454834,34.760258
0,8,109809.898438,46433.773438,0.000000,1387.262939,98.065895
0,8,92669.382813,58179.675781,0.000000,2989.300781,21.552912
0,8,112643.523438,82006.515625,0.000000,878.145203,37.251877
0,8,113518.007813,82087.437500,0.000000,2645.819580,27.619867
0,8,113340.164063,83211.117188,0.000000,2065.262451,34.024319
0,8,112747.882813,84158.890625,0.000000,739.420593,44.895851
0,8,105603.398438,85268.609375,0.000000,12094.258789,2.600663
0,8,106192.304688,85896.546875,0.000000,6861.448730,9.741139
0,9,104648.046875,34307.347656,0.000000,1522.167847,37.361725
0,9,105251.828125,34503.875000,0.000000,378.861511,44.431149
0,9,109877.210938,45128.417969,0.000000,771.649048,61.685123
0,9,70531.140625,45614.722656,0.000000,1101.978882,30.342649
0,9,110346.328125,45544.679688,0.000000,12600.646484,8.813118
0,9,108799.921875,45859.136719,0.000000,17196.333984,1.354230
0,9,109813.679688,46426.242188,0.000000,2612.946533,88.446808
0,9,92396.367188,57966.644531,0.000000,3714.461670,23.963345
0,9,113325.140625,81106.343750,0.000000,2718.091797,25.105104
0,9,112593.226563,82049.578125,0.000000,1520.478760,32.227371
0,9,113577.367188,82032.843750,0.000000,935.875671,46.794312
0,9,113338.640625,83205.914063,0.000000,1057.876221,47.662594
0,9,105539.554688,85389.171875,0.000000,14387.813477,1.748846
0,9,106210.195313,85967.367188,0.000000,976.476074,88.060417
0,10,105209.531250,34520.902344,0.000000,734.016907,42.653496
0,10,88252.437500,39686.636719,0.000000,7423.284668,31.098043
0,10,88119.335938,39931.679688,0.000000,7072.406738,15.923003
0,10,110620.507813,44810.949219,0.000000,11401.140625,0.280568
0,10,70103.960938,44702.355469,0.000000,124.789162,44.129326
